推荐排序,场站,阈值,推荐参考分数,异常分段占比,修正后保留分段占比,保留不修正分段占比,正常分段占比,总分段数,最终有效异常程度改善量,最终有效异常分钟数改善量,最终有效偏离程度改善量,重复正功率>0分段有效异常程度改善量,重复正功率>0分段有效异常分钟数改善量,重复正功率>0分段有效偏离程度改善量,推荐说明
13,LGXRFD,0.19,0.13928755147060295,0.42735042735042733,0.10256410256410256,0.13675213675213677,0.3333333333333333,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
14,LGXRFD,0.2,0.13928755147060295,0.42735042735042733,0.10256410256410256,0.13675213675213677,0.3333333333333333,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
15,LGXRFD,0.21,0.13928755147060295,0.42735042735042733,0.10256410256410256,0.13675213675213677,0.3333333333333333,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
16,LGXRFD,0.17,0.13074054292359438,0.4358974358974359,0.10256410256410256,0.13675213675213677,0.3247863247863248,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605529,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
17,LGXRFD,0.16,0.11364652582957728,0.452991452991453,0.10256410256410256,0.1282051282051282,0.3162393162393162,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605528999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
18,LGXRFD,0.15,0.10509951728256871,0.46153846153846156,0.10256410256410256,0.1282051282051282,0.3076923076923077,117.0,7078.8134709999995,5620.0,17794.605529,7078.813471,5620.0,17794.605528999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
19,LGXRFD,0.13,0.057316083236715054,0.47863247863247865,0.09401709401709402,0.11965811965811966,0.3076923076923077,117.0,4435.880679,4464.0,14646.122411,4435.880679,4464.0,14646.122410999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
20,LGXRFD,0.14,0.057316083236715054,0.47863247863247865,0.09401709401709402,0.11965811965811966,0.3076923076923077,117.0,4435.880679,4464.0,14646.122411,4435.880679,4464.0,14646.122410999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
21,LGXRFD,0.12,0.04876907468970654,0.48717948717948717,0.09401709401709402,0.11965811965811966,0.29914529914529914,117.0,4435.880679,4464.0,14646.122411,4435.880679,4464.0,14646.122410999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
22,LGXRFD,0.11,0.03167505759568945,0.5042735042735043,0.09401709401709402,0.1111111111111111,0.2905982905982906,117.0,4435.880679,4464.0,14646.122411,4435.880679,4464.0,14646.122410999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
23,LGXRFD,0.1,-0.002512976592344729,0.5384615384615384,0.09401709401709402,0.10256410256410256,0.26495726495726496,117.0,4435.880679,4464.0,14646.122411,4435.880679,4464.0,14646.122410999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
24,LGXRFD,0.09,-0.07587208319163183,0.5811965811965812,0.08547008547008547,0.09401709401709402,0.23931623931623933,117.0,2845.682052,3249.0,12633.717052,2845.682052,3249.0,12633.717052,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
25,LGXRFD,0.08,-0.13570114302069167,0.6410256410256411,0.08547008547008547,0.08547008547008547,0.18803418803418803,117.0,2845.682052,3249.0,12633.717052,2845.682052,3249.0,12633.717052,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
26,LGXRFD,0.07,-0.18698319430274274,0.6923076923076923,0.08547008547008547,0.08547008547008547,0.13675213675213677,117.0,2845.682052,3249.0,12633.717052,2845.682052,3249.0,12633.717052,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
27,LGXRFD,0.06,-0.27892134303080596,0.717948717948718,0.05982905982905983,0.09401709401709402,0.1282051282051282,117.0,2399.380194,1357.0,9473.813837,2399.380194,1357.0,9473.813837,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
28,LGXRFD,0.05,-0.41169379177357424,0.7606837606837606,0.042735042735042736,0.09401709401709402,0.10256410256410256,117.0,444.402159,363.0,3853.0478789999997,444.402159,363.0,3853.0478789999997,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
