推荐排序,场站,阈值,推荐参考分数,异常分段占比,修正后保留分段占比,保留不修正分段占比,正常分段占比,总分段数,最终有效异常程度改善量,最终有效异常分钟数改善量,最终有效偏离程度改善量,重复正功率>0分段有效异常程度改善量,重复正功率>0分段有效异常分钟数改善量,重复正功率>0分段有效偏离程度改善量,推荐说明
11,JMZSFD,0.22,0.19333748891513075,0.3111111111111111,0.044444444444444446,0.26222222222222225,0.38222222222222224,225.0,30236.975801,29085.0,41949.729247999996,30236.975801,29085.0,41949.72924799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
12,JMZSFD,0.23,0.19333748891513075,0.3111111111111111,0.044444444444444446,0.26222222222222225,0.38222222222222224,225.0,30236.975801,29085.0,41949.729247999996,30236.975801,29085.0,41949.72924799999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
13,JMZSFD,0.2,0.1800041555753613,0.31555555555555553,0.04,0.26222222222222225,0.38222222222222224,225.0,30236.975801,29085.0,41949.72922099999,30236.975801,29085.0,41949.729220999994,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
14,JMZSFD,0.17,0.16662476283318156,0.32,0.035555555555555556,0.26222222222222225,0.38222222222222224,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
15,JMZSFD,0.18,0.16662476283318156,0.32,0.035555555555555556,0.26222222222222225,0.38222222222222224,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
16,JMZSFD,0.19,0.16662476283318156,0.32,0.035555555555555556,0.26222222222222225,0.38222222222222224,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
17,JMZSFD,0.16,0.15773587394429267,0.3288888888888889,0.035555555555555556,0.26222222222222225,0.37333333333333335,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
18,JMZSFD,0.15,0.14884698505540378,0.3377777777777778,0.035555555555555556,0.26222222222222225,0.36444444444444446,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
19,JMZSFD,0.14,0.14440254061095936,0.3422222222222222,0.035555555555555556,0.2577777777777778,0.36444444444444446,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
20,JMZSFD,0.13,0.131069207277626,0.35555555555555557,0.035555555555555556,0.2577777777777778,0.3511111111111111,225.0,30223.574928,29012.0,41899.149093999986,30223.574928,29012.0,41899.14909399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
21,JMZSFD,0.12,0.10438886735816585,0.37333333333333335,0.03111111111111111,0.25333333333333335,0.3422222222222222,225.0,30211.811765000002,29005.0,41884.591762,30211.811765000002,29005.0,41884.591762,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
22,JMZSFD,0.11,0.08216664513594366,0.39555555555555555,0.03111111111111111,0.25333333333333335,0.32,225.0,30211.811765000002,29005.0,41884.591762,30211.811765000002,29005.0,41884.591762,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
23,JMZSFD,0.1,0.037455231841824435,0.4177777777777778,0.022222222222222223,0.24888888888888888,0.3111111111111111,225.0,26161.375741,27184.0,37207.058884,26161.375741,27184.0,37207.05888399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
24,JMZSFD,0.09,0.010788565175157819,0.4444444444444444,0.022222222222222223,0.24888888888888888,0.28444444444444444,225.0,26161.375741,27184.0,37207.058884,26161.375741,27184.0,37207.05888399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
25,JMZSFD,0.08,-0.03365587926928662,0.4888888888888889,0.022222222222222223,0.24,0.24888888888888888,225.0,26161.375741,27184.0,37207.058884,26161.375741,27184.0,37207.05888399999,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
26,JMZSFD,0.07,-0.382578293695405,0.5333333333333333,0.017777777777777778,0.23555555555555555,0.21333333333333335,225.0,9.505586999999998,35.0,24.345851,9.505586999999998,35.0,24.345851,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
27,JMZSFD,0.06,-0.42257829369540506,0.5733333333333334,0.017777777777777778,0.2311111111111111,0.17777777777777778,225.0,9.505586999999998,35.0,24.345851,9.505586999999998,35.0,24.345851,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
28,JMZSFD,0.05,-0.4492449603620717,0.6,0.017777777777777778,0.2311111111111111,0.1511111111111111,225.0,9.505586999999998,35.0,24.345851,9.505586999999998,35.0,24.345851,分数仅用于排序参考：只把最终处理方式为“修正后保留”的重复正功率>0分段计入有效改善收益；偏离程度用于补充识别带内改善；修正后变差/不变/仍异常的分段不计入改善收益；最终阈值仍需结合业务判断。
